No.,Province,,,<5000,<10000,<25000,<50000,<75000,<100000,6W,<5000,<10000,<25000,<50000,<75000,<100000,<150000,<200000,<250000,<300000
1,อำนาจเจริญ,Amnat Charoen,"6,500","6,500","6,500","6,000","5,135","3,900","2,795","13,000","13,000","13,000","13,000","12,220","11,700","10,140","7,930","6,240","5,200",0
2,อ่างทอง,Ang Thong,"2,000","2,000","1,200",800,400,0,0,"4,000","3,500","3,500","2,500","1,500","1,000",0,0,0,0,0
3,กรุงเทพมหานคร,Bangkok,"1,500",500,300,0,0,0,0,"3,500","1,000",800,500,0,0,0,0,0,0,0
4,บึงกาฬ,Bueng Kan,"8,000","8,000","8,000","7,500","6,560","5,040","3,920","16,000","16,000","16,000","16,000","16,000","16,000","1,440","10,720","10,240","8,320",0
5,บุรีรัมย์,Buriram,"4,000","4,000","4,000","3,500","2,760",0,0,"9,500","9,500","9,500","9,500","8,265","7,220","6,080","4,560",0,0,0
6,ฉะเชิงเทรา,Chachoengsao,"2,000","2,000","1,200",800,400,0,0,"4,000","3,500","3,500","2,500","1,500","1,000",0,0,0,0,0
7,ชัยนาท,Chai Nat,"2,500","2,500","2,500","2,000","1,500",0,0,"6,000","6,000","6,000","5,200","4,800","3,600","2,400",0,0,0,0
8,จันทบุรี,Chanthaburi,"1,500",700,500,0,0,0,0,"3,000","2,000","1,500","1,000",0,0,0,0,0,0,0
9,ชัยภูมิ,Chayaphum,"3,500","3,500","3,500","3,000","2,310",0,0,"8,500","8,500","8,500","8,000","7,225","6,120","5,100","3,740",0,0,0
10,เชียงใหม่,Chiang Mai,"7,500","7,500","7,500","7,000","6,075","4,650","3,525","15,000","15,000","15,000","15,000","14,700","14,700","12,900","9,750","9,000","7,200",0
11,แม่สาย,Chiang Rai,"9,000","9,000","9,000","8,500","7,560","5,850","4,770","19,000","19,000","19,000","19,000","19,000","19,000","18,050","14,440","14,440","11,400","7,600"
12,เชียงราย,Chiang Rai,"8,000","8,000","8,000","7,500","6,560","5,040","3,920","18,000","18,000","18,000","18,000","18,000","18,000","16,920","12,960","12,960","10,800","7,200"
13,พัทยา,Chon Buri,"2,500","2,500","2,500","2,000","1,500",0,0,"6,000","6,000","6,000","5,200","4,800","3,600","2,400",0,0,0,0
14,ชลบุรี,Chon Buri,"2,500","2,500","2,500","2,000","1,500",0,0,"6,000","6,000","6,000","5,200","4,800","3,600","2,400",0,0,0,0
15,ชุมพร,Chumphon,"6,500","6,500","6,500","6,000","5,135","3,900","2,795","12,000","12,000","12,000","12,000","11,040","10,320","8,880","6,960","5,040",0,0
16,กาฬสินธุ์,Kalasin,"5,500","5,500","5,500","5,000","4,180","3,080","2,090","13,000","13,000","13,000","13,000","12,220","11,700","10,140","7,930","6,240","5,200",0
